dealdate	totalPrice	unitPrice	square	count
2016-06-17	434.4211	42120.0789	106.8816	76
2016-06-18	429.8868	42201.5660	95.2264	53
2016-06-19	429.1250	42512.1125	97.8500	80
2016-06-20	451.2400	44880.4080	99.7200	125
2016-06-21	402.7011	42242.0115	95.9885	87
2016-06-22	421.6000	42710.6667	97.0667	60
2016-06-23	462.6506	44278.4819	104.4940	83
2016-06-24	436.3750	44968.9659	99.9886	88
2016-06-25	466.2788	46753.8558	95.8558	104
2016-06-26	460.2330	47161.3010	98.5243	103
2016-06-27	426.9387	44530.2577	95.0245	163
2016-06-28	404.4000	43710.6417	94.9333	120
2016-06-29	471.3598	43952.1495	105.2944	214
2016-06-30	473.6581	45979.4452	99.0516	155
2016-07	524.3236	48191.2714	106.8160	1842
2016-07-01	486.6296	44837.4444	105.1111	27
2016-07-02	460.5526	45469.0000	99.8947	38
2016-07-03	444.2059	45554.4853	99.8529	68
2016-07-04	371.9903	43154.2427	85.3010	103
2016-07-05	396.0455	43649.0341	88.8750	88
2016-07-06	472.5229	44225.0000	101.6514	109
2016-07-07	433.4556	47431.6222	91.9333	90
2016-07-08	459.1977	48103.3140	96.2791	86
2016-07-09	418.7800	43370.2200	94.2000	50
2016-07-10	454.5500	43710.8600	99.6200	100
2016-07-11	406.5563	43546.9930	95.6901	142
2016-07-12	390.3407	42004.1319	94.0549	91
2016-07-13	395.6405	43686.7843	92.2745	153
2016-07-14	503.5577	46727.3173	106.1827	104
2016-07-15	419.3846	45779.7436	94.0513	78
2016-07-16	375.9697	41006.4545	91.0455	66
2016-07-17	407.4348	43093.1522	95.6630	92
2016-07-18	398.2683	43693.1280	90.3902	164
2016-07-19	439.7761	43743.0000	103.9627	134
2016-07-20	415.1429	43611.1925	94.8447	161
2016-07-21	452.9020	45758.2157	99.2353	102
2016-07-22	456.9703	46404.5248	95.0495	101
2016-07-23	443.0317	46386.5873	95.2857	63
2016-07-24	428.9091	46674.0101	94.1515	99
2016-07-25	431.9281	45834.9150	95.5229	153
2016-07-26	435.9790	44387.5944	98.4615	143
2016-07-27	434.1050	46383.8850	93.1400	200
2016-07-28	436.4157	46103.3193	94.5120	166
2016-07-29	496.9419	48841.7384	101.2035	172
2016-07-30	481.4899	48422.3356	97.5235	149
2016-07-31	442.1780	44935.7774	98.1780	337
2016-08	556.2866	50476.0439	108.9341	1867
2016-08-01	513.5000	52078.6731	97.7308	52
2016-08-02	421.2895	46709.4737	90.6579	38
2016-08-03	447.3627	45881.0686	100.6176	102
2016-08-04	457.8700	48978.1100	92.0700	100
2016-08-05	489.5610	49019.5488	101.8537	82
2016-08-06	437.0690	47079.6207	90.5517	58
2016-08-07	470.7227	46587.8403	101.7815	119
2016-08-08	439.6127	45342.7861	97.3295	173
2016-08-09	455.3365	46955.1346	97.0962	104
2016-08-10	508.5852	50523.9091	99.1477	176
2016-08-11	495.3427	49288.2028	100.6573	143
2016-08-12	483.2409	49434.0730	96.0438	137
2016-08-13	447.5738	48205.6721	94.2459	61
2016-08-14	487.3917	46937.6083	105.4083	120
2016-08-15	468.3565	48195.3056	97.6204	216
2016-08-16	478.7143	46307.4929	104.3500	140
2016-08-17	438.1281	47345.2709	90.1921	203
2016-08-18	480.7500	50440.5357	95.6726	168
2016-08-19	511.6484	51598.3750	98.8125	128
2016-08-20	520.1932	51392.7273	100.1364	88
2016-08-21	475.1400	49586.7133	95.3467	150
2016-08-22	474.6513	48049.5692	98.9077	195
2016-08-23	490.9592	47412.6020	102.7551	196
2016-08-24	464.5353	47556.9502	98.3776	241
2016-08-25	457.2067	47224.7019	96.6346	208
2016-08-26	492.5536	49978.9643	98.3512	168
2016-08-27	492.1869	51509.6916	92.2617	107
2016-08-28	478.6429	46253.8724	102.3367	196
2016-08-29	448.1438	49057.2808	89.9178	292
2016-08-30	518.7210	52378.0072	99.7428	276
2016-08-31	512.9222	51664.7722	100.0167	360
2016-09	611.4066	54069.1971	110.6102	1542
2016-09-01	486.1569	53508.1765	91.1765	51
2016-09-02	486.0137	46892.3288	100.1096	73
2016-09-03	522.3895	52013.2421	96.1789	95
2016-09-04	454.9664	49878.4899	91.3624	149
2016-09-05	491.0460	53500.4483	91.1207	174
2016-09-06	511.7643	51769.7429	96.9143	140
2016-09-07	567.6340	54525.6013	104.0588	153
2016-09-08	508.2016	51799.5403	98.6935	124
2016-09-09	539.0917	49500.8333	107.9500	120
2016-09-10	504.0111	51806.7222	96.9778	90
2016-09-11	477.2748	51213.2290	89.5344	131
2016-09-12	498.3636	51491.1273	99.5212	165
2016-09-13	510.1397	56074.1691	90.4044	136
2016-09-14	507.3750	50145.8409	101.1477	176
2016-09-15	515.3523	54857.7159	93.3977	88
2016-09-16	502.4466	50783.9320	96.6602	103
2016-09-17	501.0551	51921.9764	98.0157	127
2016-09-18	504.3059	51161.1689	99.8265	219
2016-09-19	549.7895	51480.2105	108.5789	114
2016-09-20	573.1716	56640.7313	101.0522	134
2016-09-21	559.6329	52731.2975	103.9114	158
2016-09-22	493.9302	52236.0155	94.9147	129
2016-09-23	564.7767	55350.0291	97.9515	103
2016-09-24	543.0112	49153.4382	105.9326	89
2016-09-25	517.5939	53963.1879	98.3515	165
2016-09-26	496.2222	52236.6056	94.6500	180
2016-09-27	572.6228	55547.9940	101.9042	167
2016-09-28	537.8564	51764.3867	101.2983	181
2016-09-29	576.5524	54843.3147	108.2308	143
2016-09-30	539.7434	53657.3553	98.5329	152
2016-10	680.0772	57183.7994	116.1173	648
2016-10-01	562.6667	57211.2857	97.8095	21
2016-10-02	476.3000	60352.9000	78.8000	10
2016-10-03	419.4231	51581.0000	83.9615	26
2016-10-04	638.3636	62434.0000	99.0909	33
2016-10-05	476.5333	52524.1000	99.0000	30
2016-10-06	390.2727	47378.7500	87.4773	44
2016-10-07	501.5968	51879.0645	99.6129	62
2016-10-08	571.6622	56149.9459	100.1622	74
2016-10-09	547.2807	55758.8772	98.8421	57
2016-10-10	625.0426	57804.5106	114.8298	47
2016-10-11	518.8810	54010.4762	88.8571	42
2016-10-12	395.1522	48982.0000	83.5870	46
2016-10-13	535.3256	54442.9070	100.5116	43
2016-10-14	648.7111	53206.1333	121.4889	45
2016-10-15	616.9268	55788.0976	107.6098	41
2016-10-16	504.9211	54343.8421	94.9211	38
2016-10-17	506.3250	58580.9500	86.4250	40
2016-10-18	563.8378	56379.0270	105.3784	37
2016-10-19	534.9259	55855.5000	95.3889	54
2016-10-20	657.5000	56003.1579	112.6842	38
2016-10-21	497.5600	50187.5200	92.7200	25
2016-10-22	545.7917	57544.5417	110.2500	24
2016-10-23	541.4048	55190.4762	97.0238	42
2016-10-24	525.0638	52302.4894	98.3191	47
2016-10-25	447.9500	50221.7750	88.7750	40
2016-10-26	632.4600	57071.4000	106.2600	50
2016-10-27	539.1346	53801.8654	98.3269	52
2016-10-28	534.0000	58136.6765	91.8824	34
2016-10-29	484.9767	53034.5814	95.0465	43
2016-10-30	417.7722	52898.1772	78.7468	79
2016-10-31	566.6667	53410.9655	103.1609	87
2016-11	772.7673	60841.1889	123.7811	434
2016-11-01	637.3529	64732.4118	92.9412	17
2016-11-02	530.4500	55915.6500	93.0000	20
2016-11-03	561.0833	60566.2083	88.6250	24
2016-11-04	584.6000	58955.7333	92.7000	30
2016-11-05	552.9412	55086.2353	101.1471	34
2016-11-06	565.5306	54429.6735	98.3878	49
2016-11-07	521.4231	55297.0769	88.4423	52
2016-11-08	546.5610	53379.0000	96.8780	41
2016-11-09	565.7755	59141.3061	91.2857	49
2016-11-10	468.1176	50378.0882	90.9118	34
2016-11-11	472.2791	47953.1395	106.0000	43
2016-11-12	598.7647	52278.8235	106.8235	34
2016-11-13	505.5893	52691.2500	94.6786	56
2016-11-14	484.2836	50148.9851	93.6119	67
2016-11-15	467.0545	57920.3091	82.3091	55
2016-11-16	567.5122	59895.5366	92.2195	41
2016-11-17	476.4255	48908.2766	93.3191	47
2016-11-18	456.6098	52267.0244	85.3415	41
2016-11-19	450.1622	51073.9730	85.2162	37
2016-11-20	489.2500	53047.3889	91.9167	72
2016-11-21	484.5862	52547.3966	92.1724	58
2016-11-22	496.2800	52504.7000	93.1800	50
2016-11-23	419.5319	50651.0426	78.9574	47
2016-11-24	595.6167	55857.3667	103.1167	60
2016-11-25	549.0847	57295.6102	91.7458	59
2016-11-26	499.3333	53210.2222	95.7407	54
2016-11-27	517.7742	55158.6989	93.6129	93
2016-11-28	490.8132	53652.3736	90.7363	91
2016-11-29	518.8000	56104.3222	89.7333	90
2016-11-30	466.1488	54573.5785	83.0579	121
2016-12	696.8008	60382.4717	111.7254	477
2016-12-01	388.3478	52842.4348	65.9130	23
2016-12-02	542.4146	55287.7073	95.1707	41
2016-12-03	578.1429	63680.9524	89.3571	42
2016-12-04	555.5263	56995.3421	96.6842	76
2016-12-05	481.4384	53703.4795	89.5616	73
2016-12-06	510.1831	58703.6197	86.6901	71
2016-12-07	544.2097	56140.4194	93.6613	62
2016-12-08	486.3194	54504.0694	85.4583	72
2016-12-09	583.2632	54560.6491	103.7193	57
2016-12-10	547.9273	56522.0364	91.6727	55
2016-12-11	516.1188	59914.1584	84.0693	101
2016-12-12	589.7374	59695.9596	99.0808	99
2016-12-13	568.2368	58799.6711	97.3421	76
2016-12-14	562.0714	56362.7755	96.0918	98
2016-12-15	516.5479	55587.8219	89.6986	73
2016-12-16	534.4286	57162.1964	94.0714	56
2016-12-17	525.8246	59180.8246	90.4386	57
2016-12-18	507.2474	56660.8763	86.8763	97
2016-12-19	516.8571	59203.2946	87.9643	112
2016-12-20	478.8652	54256.6854	88.0674	89
2016-12-21	495.6237	57779.8495	86.2151	93
2016-12-22	609.7500	64087.6316	93.1184	76
2016-12-23	528.4444	56990.7222	92.4630	54
2016-12-24	545.8983	62847.5424	83.2712	59
2016-12-25	491.0213	53230.0745	88.4894	94
2016-12-26	531.6780	57364.0000	90.2881	118
2016-12-27	500.0482	56572.7952	85.9518	83
2016-12-28	513.0549	56847.8681	90.8791	91
2016-12-29	538.3953	55228.2326	94.3140	86
2016-12-30	583.9315	61701.9726	92.2329	73
2016-12-31	502.3400	52817.1700	92.5100	100
2017-01	847.6062	66118.7461	124.9948	193
2017-01-01	577.1136	57605.5909	101.0455	44
2017-01-02	536.4118	57118.8627	91.7647	51
2017-01-03	524.3393	56406.0179	88.2321	56
2017-01-04	570.2703	62381.1081	92.7432	74
2017-01-05	617.3137	62576.4510	98.9412	51
2017-01-06	582.5692	61696.9231	94.5538	65
2017-01-07	608.6724	58660.6897	99.1034	58
2017-01-08	570.2674	57105.9884	97.7558	86
2017-01-09	525.9596	56908.7879	91.8889	99
2017-01-10	530.1139	58236.4177	88.6203	79
2017-01-11	520.9326	55865.6742	91.6854	89
2017-01-12	560.7108	59950.6627	90.9880	83
2017-01-13	643.8214	63161.4107	102.3036	56
2017-01-14	532.8929	56233.3214	93.7321	56
2017-01-15	615.8947	61573.7895	97.6737	95
2017-01-16	530.3367	56131.9490	89.8878	98
2017-01-17	509.8125	58574.8625	89.6125	80
2017-01-18	559.0103	58390.4433	91.8763	97
2017-01-19	558.3667	58039.7667	95.8556	90
2017-01-20	596.8200	63086.3000	91.8800	50
2017-01-21	597.9873	58588.4051	97.0506	79
2017-01-22	558.9022	61139.9457	92.0652	92
2017-01-23	485.9143	52725.4000	90.7143	70
2017-01-24	640.9048	62294.1905	104.2381	21
2017-01-25	1228.3333	91725.3333	122.6667	3
2017-01-26	77.0000	22648.0000	34.0000	1
2017-01-31	72.0000	21819.0000	33.0000	1
2017-02	894.6801	68772.4485	126.3493	272
2017-02-03	515.5000	74109.0000	67.5000	2
2017-02-04	638.7000	56090.4000	115.3000	20
2017-02-05	572.8276	55011.2069	98.8621	29
2017-02-06	498.4524	55058.8571	87.4048	42
2017-02-07	512.1220	56132.2927	89.4634	41
2017-02-08	519.3333	55905.3111	93.4222	45
2017-02-09	565.1500	59137.8167	91.2833	60
2017-02-10	474.9167	57267.4583	83.4167	48
2017-02-11	611.6571	67586.7429	85.4571	35
2017-02-12	527.5610	57098.3293	89.9390	82
2017-02-13	533.3846	60126.7615	87.2385	130
